paper_idx,para_idx,abstract
2,0,"We analyze a quantum dot coupled to a topological superconductor and a normal lead, focusing on the interplay between Kondo- and Majorana-induced couplings in such quantum dots. The Majorana-induced coupling arises from the presence of Majorana zero-energy modes localized, for example, at the ends of the one-dimensional superconductor. To map out the system's phase diagram as a function of Kondo and Majorana interactions, we employ a renormalization-group analysis, a slave-boson mean-field theory, and numerical simulations based on the density-matrix renormalization-group method. We find that, beyond the familiar Kondo fixed point, the renormalization-group flow can approach a distinct fixed point governed by the Majorana-induced coupling; this Majorana fixed point is marked by nontrivial correlations between the localized spin on the dot and the fermion parity of the topological superconductor and the normal lead. Finally, we calculate experimentally accessible quantities, including the differential tunneling conductance and the impurity-spin susceptibility, which exhibit characteristic signatures of the Majorana fixed point."
2,1,"We analyze a quantum dot coupled to a topological superconductor and a normal lead, focusing on the interplay between Kondo-and Majorana-induced couplings in the dot. The Majorana-induced coupling arises from the presence of Majorana zero-energy modes localized, for example, at the ends of a one-dimensional superconductor. We map out the phase diagram as a function of the Kondo and Majorana interaction strengths using a renormalization-group analysis, a slave-boson mean-field theory, and numerical simulations based on the density-matrix renormalization-group method. We demonstrate that, in addition to the familiar Kondo fixed point, the renormalization-group flow can approach a distinct fixed point governed by the Majorana-induced coupling; this Majorana-controlled fixed point is marked by nontrivial correlations between the localized spin on the dot and the fermion parity of the topological superconductor and the normal lead. We compute several experimentally accessible quantities, such as the differential tunneling conductance and the impurity-spin susceptibility, which reveal characteristic features of the Majorana fixed point."
2,2,"We examine a quantum dot coupled to a topological superconductor and to a normal lead, and we analyze the interplay between Kondo- and Majorana-induced couplings in such quantum-dot systems. The Majorana-induced coupling originates from Majorana zero-energy modes that are localized, for example, at the ends of the one-dimensional topological superconductor. We map out the phase diagram as a function of the Kondo and Majorana interaction strengths using a combination of renormalization-group analysis, a slave-boson mean-field approach, and numerical density-matrix renormalization-group simulations. We find that, besides the familiar Kondo fixed point, the renormalization-group flow can be attracted to a distinct fixed point governed by the Majorana-induced coupling; this Majorana fixed point is marked by nontrivial correlations between the localized spin on the dot and the fermion parity of both the topological superconductor and the normal lead. To characterize experimental signatures of this regime, we calculate measurable quantities including the differential tunneling conductance and the impurity-spin susceptibility, which display peculiar features diagnostic of the Majorana fixed point."
2,3,"We analyze a quantum dot that is coupled both to a topological superconductor and to a normal lead, focusing on the interplay between Kondo- and Majorana-induced couplings in the dot. The Majorana coupling originates from Majorana zero-energy modes, which may be localized, for instance, at the ends of a one-dimensional superconductor. To map out the phase behavior as the Kondo and Majorana interactions are varied, we employ a renormalization-group analysis, a slave-boson mean-field approach, and density-matrix renormalization-group numerical simulations. Besides the familiar Kondo fixed point, we find that the renormalization flow can be attracted to a distinct fixed point governed by the Majorana-induced coupling; this Majorana fixed point exhibits nontrivial correlations between the dot’s localized spin and the fermion parity of the topological superconductor together with the normal lead. We calculate experimentally accessible observables, including the differential tunneling conductance and the impurity-spin susceptibility, and identify signatures that are distinctive of the Majorana-controlled fixed point."
2,4,"We analyze a quantum dot hybridized with a topological superconductor and a normal lead, focusing on the competition between Kondo and Majorana-induced couplings in the dot. The Majorana coupling arises from Majorana zero-energy modes localized, for example, at the ends of the one-dimensional superconductor. Using a renormalization-group analysis, a slave-boson mean-field theory, and numerical density-matrix renormalization-group simulations, we map out the phase diagram as a function of the Kondo and Majorana interaction strengths. Besides the familiar Kondo fixed point, we find that the flow can be attracted to a distinct fixed point dominated by the Majorana-induced coupling; this Majorana fixed point is marked by nontrivial correlations between the localized spin on the dot and the fermion parity of the topological superconductor together with the normal lead. We calculate experimentally accessible observables, including the differential tunneling conductance and the impurity-spin susceptibility, and identify signatures that are distinctive of the Majorana-controlled fixed point."
3,0,"Correlations between critical temperature, the modulation vector q, and oxygen non-stoichiometry were examined for three series of compositions of the 2212 bismuth cuprates. For this study three samples were prepared under different conditions: the pure phase Bi2Sr2CaCu2O8 (synthesized in argon), Bi2.1Sr1.9CaCu2O8+δ (synthesized in air), and the mixture Bi2Sr2CaCu2O8+δ (synthesized in air). Oxygen intercalation and deintercalation were performed, and the q vector and critical temperature were measured. In every series the q vector decreases as the oxygen content δ increases. Comparison among the series further indicates that the Bi/Sr ratio affects q. It is also demonstrated that, while oxygen non-stoichiometry can dramatically influence the Tcs, it is not the only factor: the cationic composition also plays a role. The importance of phase purity for the physical interpretation is discussed, taking into account that the air-synthesized “Bi2Sr2CaCu2O8+δ” composition is not single-phase and may correspond to various members of the non-stoichiometric phase Bi2+xSr2−xCaCu2O8+δ."
3,1,"We investigated the correlations between critical temperature, modulation vector q and oxygen non-stoichiometry for three series of compositions belonging to the 2212 bismuth cuprates. For this exploration three samples were prepared in different conditions: the pure phase Bi2Sr2CaCu2O8 (synthesized in argon), Bi2.1Sr1.9CaCu2O8+δ (synthesized in air), and the mixture Bi2Sr2CaCu2O8+δ (synthesized in air). Oxygen intercalation and disintercalation were carried out and both the q vector and the critical temperature were measured. In each series of oxides, the q vector decreases as the oxygen content δ increases. Comparison of the different series also shows that the Bi/Sr ratio affects q. It is also demonstrated that, while oxygen non-stoichiometry can dramatically influence Tcs, it is not the only factor, with the cationic composition also playing a role. The importance of phase purity for the physical interpretation is discussed, taking into account that the air-synthesized “Bi2Sr2CaCu2O8+δ” composition is not a single phase and may correspond to various members of the non-stoichiometric phase Bi2+xSr2−xCaCu2O8+δ."
3,2,"We investigated the correlations among critical temperature, the structural modulation vector q, and oxygen non-stoichiometry for three series of compositions within the 2212 bismuth cuprates. Three sample sets were prepared under different conditions: the phase-pure Bi2Sr2CaCu2O8 synthesized in argon, Bi2.1Sr1.9CaCu2O8+δ synthesized in air, and the mixed-composition Bi2Sr2CaCu2O8+δ synthesized in air. Oxygen intercalation and deintercalation treatments were applied, and both the q vector and critical temperature were measured. For every series, q was found to decrease as the oxygen content δ increased. A comparison between series further indicates that the Bi/Sr ratio has a measurable effect on q. It is also shown that, although oxygen non-stoichiometry can strongly affect critical temperatures (Tcs), it is not the sole determining factor: the cationic composition contributes as well. Finally, we discuss the importance of phase purity for physical interpretation, noting that the air-synthesized “Bi2Sr2CaCu2O8+δ” composition is not a single phase and may represent various members of the non-stoichiometric family Bi2+xSr2−xCaCu2O8+δ."
3,3,"Correlations among the critical temperature, the modulation vector q, and oxygen non-stoichiometry were investigated for three series of compositions belonging to the 2212 bismuth cuprates. For this study three series were prepared under different conditions: the pure phase Bi2Sr2CaCu2O8 (synthesized in argon), Bi2.1Sr1.9CaCu2O8+δ (synthesized in air), and the mixture Bi2Sr2CaCu2O8+δ (synthesized in air). Oxygen intercalation and deintercalation treatments were carried out and both the q vector and the critical temperature were measured. In every series examined the q vector decreases as the oxygen content δ is increased. Comparison between series further shows that the Bi/Sr ratio influences q. It is also shown that, although oxygen non-stoichiometry can strongly affect critical temperatures, it is not the sole determinant since the cationic composition also plays a role. The significance of phase purity for physical interpretation is discussed, noting that the air-synthesized “Bi2Sr2CaCu2O8+δ” composition is not single-phase and may correspond to various members of the non-stoichiometric phase Bi2+xSr2−xCaCu2O8+δ."
3,4,"The relationships among critical temperature, the modulation vector q, and oxygen non-stoichiometry were investigated for three series of compositions belonging to the 2212 bismuth cuprates. For this study three samples were prepared under different conditions: the pure phase Bi2Sr2CaCu2O8 (synthesized in argon), Bi2.1Sr1.9CaCu2O8+δ (synthesized in air), and the mixture Bi2Sr2CaCu2O8+δ (synthesized in air). Oxygen intercalation and disintercalation were performed, and the q vector and critical temperature were measured. In each oxide series the q vector decreases as the oxygen content δ increases. Comparison among the different series also shows that the Bi/Sr ratio affects q. It is furthermore demonstrated that, while oxygen non-stoichiometry can dramatically influence Tcs, it is not the only factor, since the cationic composition also plays a role. The importance of phase purity for physical interpretation is discussed, noting that the air-synthesized “Bi2Sr2CaCu2O8+δ” composition is not a single phase and may correspond to various members of the non-stoichiometric phase Bi2+xSr2−xCaCu2O8+δ."
4,0,"REBCO (RE = rare earth) based high temperature superconducting (HTS) wires are increasingly employed in the development of electric and electromagnetic devices for a range of industrial, scientific, and medical applications. In recent years, efforts to deploy second generation (2G) HTS wires for many of these applications have driven the need for further increases in engineering current density (J e). This demand is particularly strong for high magnetic field applications, where the higher J e of a REBCO wire—combined with its larger irreversibility fields and greater mechanical strength—already provides a substantial advantage over other superconducting wires. Reducing the overall thickness of the wire is an effective route to raise J e, making the use of a thinner substrate an attractive strategy. Using our IBAD-MOCVD (ion beam assisted deposition-metal organic chemical vapor deposition) technology, we have successfully fabricated 2G HTS wires on Hastelloy® C276 substrates only 30 μm thick. Replacing the typical 50 μm substrate with this 30 μm substrate, while maintaining the same critical current (I c), increases J e by 30% to 45%, depending on the copper stabilizer thickness. Here we present the fabrication and characterization of 2G HTS wires made on the 30 μm Hastelloy® C276 substrate. With optimization of the processing protocol, the surface of the thinner Hastelloy® C276 substrate can be electropolished to the quality required for buffer-stack deposition. Using the same architecture as on the standard 50 μm substrate, the buffer stack on the 30 μm substrate exhibited an in-plane texture with a Δ of around 6.7° in the LaMnO3 cap layer. Low-temperature in-field transport measurements indicate that wires on the thinner substrate achieve equivalent superconducting performance—most importantly the I c—compared to those on the 50 μm substrate. It is expected that 2G HTS wires fabricated on the 30 μm thick Hastelloy® C276 substrate, the thinnest and with the highest J e to date, will greatly benefit applications such as high-field magnets and high-current cables."
4,1,"REBCO (RE = rare earth) based high temperature superconducting (HTS) wires are increasingly being deployed in the development of electric and electromagnetic devices across industrial, scientific and medical fields. Recent efforts to employ second generation (2G) HTS wires for many of these applications have driven the need for further increases in their engineering current density (J e). This need is particularly acute for high magnetic field applications, where a higher J e, together with elevated irreversibility fields and superior mechanical strength, already makes REBCO wires advantageous over other superconductors. A straightforward and effective route to raise J e is to reduce the total thickness of the wire, making a thinner substrate an attractive solution. Using our IBAD-MOCVD (ion beam assisted deposition–metal organic chemical vapor deposition) technology, we have successfully fabricated 2G HTS wires on a Hastelloy® C276 substrate reduced to 30 μm thickness. Replacing the typical 50 μm substrate with this 30 μm substrate, while maintaining the same critical current (I c), yields a J e increase of 30% to 45% depending on the copper stabilizer thickness. Here we report the fabrication and characterization of 2G HTS wires deposited on the 30 μm Hastelloy® C276 substrate. With optimization of the processing protocol, the surface of the thinner Hastelloy® C276 substrate can be electropolished to the quality required for buffer stack deposition. Using the same architecture as on the standard 50 μm substrate, the buffer stack on the 30 μm substrate exhibited an in-plane texture with a Δ of around 6.7° in the LaMnO3 cap layer. Low-temperature, in-field transport measurements indicate that wires on the thinner substrate achieve equivalent superconducting performance—most importantly the I c—compared to those on the 50 μm substrate. It is expected that 2G HTS wires produced on the 30 μm Hastelloy® C276 substrate, the thinnest and with the highest J e to date, will substantially benefit applications such as high field magnets and high current cables."
4,2,"REBCO (RE = rare earth) based high temperature superconducting (HTS) wires are increasingly deployed in electric and electromagnetic devices across industrial, scientific and medical fields. Recent efforts to employ second generation (2G) HTS wires in high magnetic field applications demand further increases in engineering current density (Je); in such applications the higher Je of REBCO conductors, together with their larger irreversibility fields and superior mechanical strength, already provides a substantial advantage over alternative superconducting wires. Reducing overall wire thickness is an effective route to raise Je, making the use of a thinner substrate an attractive strategy. Using our IBAD-MOCVD (ion beam assisted deposition–metal organic chemical vapor deposition) process, we have fabricated 2G HTS wires on Hastelloy® C276 substrates only 30 μm thick. Replacing the conventional 50 μm substrate by this 30 μm substrate yields a Je increase of 30% to 45% for the same critical current (Ic), the exact gain depending on the copper stabilizer thickness. Here we report the fabrication and characterization of these 2G wires on 30 μm Hastelloy® C276: with optimized processing the thinner substrate surface can be electropolished to the quality required for buffer stack deposition. With the same architecture as used on the standard 50 μm substrate, the buffer stack on the 30 μm material exhibits an in-plane texture with a Δ of approximately 6.7° in the LaMnO3 cap layer. Low-temperature in-field transport measurements indicate that the wires on the thinner substrate achieve superconducting performance—most critically Ic—equivalent to those on the 50 μm substrate. The 2G HTS wires produced on 30 μm Hastelloy® C276, the thinnest and exhibiting the highest Je reported to date, are expected to greatly benefit applications such as high field magnets and high current cables."
4,3,"REBCO (RE = rare earth) based high temperature superconducting (HTS) wires are increasingly being deployed in the development of electric and electromagnetic devices for a range of industrial, scientific, and medical applications. Over the past several years, efforts to employ second generation (2G) HTS wires in many of these applications have driven the need to further raise their engineering current density (J e). This demand is particularly acute for high magnetic field applications, where the larger J e of REBCO wires—alongside their higher irreversibility fields and superior mechanical strength—already provides a significant advantage over other superconducting wires. Reducing the overall tape thickness is an effective route to increase J e, making the adoption of a thinner substrate an obvious and attractive strategy. Using our IBAD-MOCVD (ion beam assisted deposition–metal organic chemical vapor deposition) technology, we have produced 2G HTS wires on a Hastelloy® C276 substrate only 30 μm thick. Replacing the typical 50 μm substrate with this thinner 30 μm substrate, while maintaining the same critical current (I c), yields a J e increase of 30% to 45%, depending on the copper stabilizer thickness. In this paper we report the fabrication and characterization of these 2G HTS wires manufactured on 30 μm Hastelloy® C276. We demonstrate that, with optimized processing, the surface of the thinner Hastelloy® C276 can be electropolished to the quality required for buffer stack deposition. Using the same architecture as on the standard 50 μm substrate, the buffer stack on the 30 μm substrate exhibited an in-plane texture with a Δ of around 6.7° in the LaMnO3 cap layer. Low-temperature, in-field transport measurements indicate that wires on the thinner substrate achieve superconducting performance equivalent to those on the 50 μm substrate, most importantly matching I c. The 2G HTS wires fabricated on the 30 μm Hastelloy® C276 substrate—the thinnest and with the highest J e reported to date—are expected to substantially benefit applications such as high field magnets and high current cables."
4,4,"REBCO (RE = rare earth) based high temperature superconducting (HTS) wires are now being utilized for the development of electric and electromagnetic devices for various industrial, scientific and medical applications. Over the past several years, growing efforts to deploy second generation (2G) HTS wires in these applications have driven a need to further raise their engineering current density (J e). This requirement is particularly pressing for applications involving high magnetic fields, where a REBCO wire’s higher J e, together with its larger irreversibility fields and greater mechanical strength, already provides a substantial advantage over other superconducting wires. Reducing the overall thickness of the wire is an effective route to increase J e, making the use of a thinner substrate an obvious and attractive strategy. Employing our IBAD-MOCVD (ion beam assisted deposition–metal organic chemical vapor deposition) technology, we have successfully fabricated 2G HTS wires on Hastelloy® C276 substrates only 30 μm thick. Replacing the typical 50 μm substrate with this thinner 30 μm substrate, while maintaining the same critical current (I c), yields an increase in J e of 30% to 45%, depending on the copper stabilizer thickness. In this paper, we report the fabrication and characterization of these 2G HTS wires produced on the 30 μm thick Hastelloy® C276 substrate. With optimization of the processing protocol, the surface of the thinner Hastelloy® C276 substrate can be readily electropolished to the quality required for deposition of the buffer stack. Using the same architecture as on the standard 50 μm substrate, the buffer stack deposited on the 30 μm substrate exhibited an in-plane texture with a Δ of around 6.7° in the LaMnO3 cap layer. Low-temperature in-field transport measurements indicate that the wires on the thinner substrate achieved superconducting performance equivalent—most importantly in I c—to those on the 50 μm thick substrate. It is expected the 2G HTS wires made on the 30 μm thick Hastelloy® C276 substrate, the thinnest and with the highest J e to date, will greatly benefit such applications as high field magnets and high current cables."
5,0,"New tunneling measurements in Bi2Sr2CaCu2O8+δ reveal quasiparticle excitation gaps, Δ, reaching up to 60 meV in underdoped crystals with Tc=70 K. These gap values are nearly 3 times larger than those observed in overdoped crystals with comparable Tc. Despite this pronounced difference in gap magnitude, the tunneling spectra show qualitatively similar features across the entire doping range. Detailed analysis of the spectra, including the Josephson IcRn product measured in break junctions, indicates that these energy gaps are predominantly of superconducting origin."
5,1,"We report new tunneling measurements on Bi2Sr2CaCu2O8+δ that show quasiparticle excitation gaps, Δ, reaching up to 60 meV in underdoped crystals with Tc = 70 K. These gap values are nearly three times larger than those found in overdoped crystals with similar Tc. Despite the substantial differences in gap magnitude, the tunneling spectra retain qualitatively similar characteristics across the entire doping range. Detailed analysis of the spectra, including the Josephson IcRn product measured in break junctions, indicates that these energy gaps are predominantly of superconducting origin."
5,2,"We present new tunneling measurements on Bi2Sr2CaCu2O8+δ that reveal quasiparticle excitation gaps, Δ, as large as 60 meV in underdoped crystals with Tc = 70 K. These gap magnitudes are almost three times those observed in overdoped crystals with comparable Tc. Even with such substantial differences in Δ, the tunneling spectra retain qualitatively similar characteristics throughout the entire doping range. A detailed analysis of the spectra, including the Josephson IcRn product measured in break junctions, indicates that these energy gaps are predominantly of superconducting origin."
5,3,"We report new tunneling data on Bi2Sr2CaCu2O8+δ showing quasiparticle excitation gaps Δ reaching up to 60 meV in underdoped crystals with Tc = 70 K. These gap values are nearly three times larger than those observed in overdoped crystals with similar Tc. Despite this large variation in magnitude, the tunneling spectra exhibit qualitatively similar features across the entire doping range. Detailed analysis of the spectra, including the Josephson IcRn product measured in break junctions, indicates that the observed energy gaps are predominantly of superconducting origin."
5,4,"New tunneling measurements in Bi2Sr2CaCu2O8+δ reveal quasiparticle excitation gaps, Δ, reaching up to 60 meV in underdoped crystals with Tc = 70 K. These energy gaps are nearly 3 times larger than those observed in overdoped crystals with comparable Tc. Despite this large disparity in gap magnitude, the tunneling spectra show qualitatively similar characteristics throughout the entire doping range. Detailed analysis of the spectra, including the Josephson IcRn product measured in break junctions, indicates that these energy gaps are predominantly of superconducting origin."
6,0,"Approaches based on open quantum systems are extensively employed to describe phenomena in physics, chemistry and biology. A paradigmatic case is the electronic excitation transfer that takes place in the initial stage of photosynthesis, where the harvested energy is delivered with remarkably high efficiency to a reaction center. This transport is influenced by the dynamics of a structured vibrational environment, which renders classical-computer simulations extremely challenging. Here we propose an analog quantum simulator for complex open-system dynamics that incorporates a precisely engineered quantum environment. The proposed implementation uses superconducting circuits, a well-established technology. As an explicit example, we show that exciton transport in the Fenna–Matthews–Olson photosynthetic complex can be simulated feasibly. Our scheme enables a controllable single-molecule simulation and the study of energy transfer pathways as well as non-Markovian noise-correlation effects."
6,1,"Open quantum system approaches are widely used to describe physical, chemical, and biological systems. A notable example is the electronic excitation transfer occurring in the initial stage of photosynthesis, where harvested energy is conveyed with remarkably high efficiency to a reaction center. This transport is influenced by the motion of a structured vibrational environment, which renders simulations on a classical computer very demanding. Here we propose an analog quantum simulator of complex open system dynamics that incorporates a precisely engineered quantum environment. Our implementation is based on superconducting circuits, a well-established technology. As an example, we demonstrate that it is feasible to simulate exciton transport in the Fenna–Matthews–Olson photosynthetic complex. The approach permits controllable single-molecule simulation and the investigation of energy transfer pathways as well as non-Markovian noise-correlation effects."
6,2,"Open quantum system approaches are extensively used to describe phenomena across physical, chemical, and biological systems. A prominent example is the electronic excitation transfer occurring in the initial stage of photosynthesis, where harvested energy is delivered to a reaction center with remarkably high efficiency. This transport is influenced by the motion of a structured vibrational environment, which makes simulations on a classical computer highly demanding. Here we propose an analog quantum simulator for complex open-system dynamics that incorporates a precisely engineered quantum environment. Our design is based on superconducting circuits, a well-established technology. As a concrete example, we demonstrate the feasibility of simulating exciton transport in the Fenna–Matthews–Olson photosynthetic complex. This approach permits controllable single-molecule simulation and the exploration of energy transfer pathways as well as non-Markovian noise-correlation effects."
6,3,"Approaches that treat open quantum systems are extensively employed to describe phenomena in physical, chemical, and biological contexts. A notable instance is electronic excitation transfer during the initial stage of photosynthesis, where harvested energy is conveyed with remarkably high efficiency to a reaction center. This transport is influenced by the dynamics of a structured vibrational environment, which renders simulations on a classical computer very demanding. Here we propose an analog quantum simulator of complex open system dynamics featuring a precisely engineered quantum environment. The proposed implementation is based on superconducting circuits, a well-established technology. As an example, we demonstrate the feasibility of simulating exciton transport in the Fenna–Matthews–Olson photosynthetic complex. Our scheme permits controllable single-molecule simulation and the examination of energy transfer pathways as well as non-Markovian noise-correlation effects."
6,4,"Open quantum system methods are extensively employed to describe phenomena in physics, chemistry, and biology. A well-known case is the electronic excitation transfer occurring in the initial stage of photosynthesis, where absorbed energy is delivered with remarkably high efficiency to a reaction center. This transport is influenced by the dynamics of a structured vibrational environment, making classical computer simulations extremely challenging. Here we propose an analog quantum simulator for complex open-system dynamics that incorporates a precisely engineered quantum environment. The experimental design is based on superconducting circuits, a mature and well-established technology. As a concrete example, we show that simulating exciton transport in the Fenna–Matthews–Olson photosynthetic complex is feasible within this framework. Our scheme enables controllable single-molecule simulations and permits the study of energy transfer pathways as well as non-Markovian noise-correlation effects."
7,0,We study 2D surface superconductivity in large magnetic fields applied parallel to the surface. We show that spin-orbit interaction at the surface modifies the behavior of the inhomogeneous Larkin-Ovchinnikov-Fulde-Ferrell (LOFF) superconducting state that appears above the fields determined by the paramagnetic criterion. Strong surface spin-orbit coupling markedly extends the parameter range over which the LOFF phase exists; this phase manifests as periodic superconducting stripes running along the direction of the field on the surface and produces anisotropic properties. Our results provide a tool for studying surface superconductivity as a function of doping.
7,1,"We study 2D surface superconductivity in high magnetic fields applied parallel to the surface. We show that spin-orbit interaction at the surface alters the characteristics of the inhomogeneous superconducting Larkin-Ovchinnikov-Fulde-Ferrell (LOFF) state that emerges above fields set by the paramagnetic criterion. A strong surface spin-orbit coupling markedly widens the parameter range over which the LOFF phase exists; on the surface it appears as periodic superconducting stripes aligned with the field direction, imparting anisotropic properties. Our results provide a tool for studying surface superconductivity as a function of doping."
7,2,We study 2D surface superconductivity in high magnetic fields applied parallel to the surface. We show that spin-orbit interaction at the surface modifies the characteristics of the inhomogeneous Larkin-Ovchinnikov-Fulde-Ferrell (LOFF) state that appears above fields set by the paramagnetic criterion. Strong spin-orbit coupling markedly widens the field range over which the LOFF phase exists; this phase appears on the surface as periodic superconducting stripes oriented along the field direction and consequently exhibits anisotropic properties. These findings offer a means to investigate surface superconductivity as a function of doping.
